epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4626.11,1.61404,1.48106,1.70154,0.83957,0.61377,0.75946,0.37687,1.64594,1.05427,1.91519,0.00522275,0.00522275,0.00522275
90,4669.04,1.68369,1.53535,1.75663,0.79187,0.67544,0.76642,0.37197,1.54182,0.97105,1.86692,0.00513639,0.00513639,0.00513639
91,4710.33,1.63445,1.485,1.68337,0.77287,0.71335,0.77244,0.35412,1.67791,1.03798,1.95247,0.00505,0.00505,0.00505
92,4754.33,1.6456,1.50503,1.72179,0.75394,0.71691,0.74411,0.35243,1.64061,1.05486,1.93447,0.00496361,0.00496361,0.00496361
93,4800.47,1.65568,1.49232,1.72327,0.67795,0.73631,0.73515,0.36377,1.45543,0.94856,1.81967,0.00487725,0.00487725,0.00487725
94,4845.3,1.69541,1.48085,1.72438,0.72812,0.70025,0.73343,0.34147,1.53721,1.016,1.8505,0.00479094,0.00479094,0.00479094
95,4889.2,1.6636,1.49874,1.68487,0.77553,0.74718,0.78951,0.39813,1.54795,0.95989,1.86353,0.00470471,0.00470471,0.00470471
96,4931.62,1.62487,1.48896,1.68245,0.77086,0.72688,0.76231,0.36096,1.6215,1.07088,1.89901,0.00461858,0.00461858,0.00461858
97,4975.4,1.66384,1.4742,1.6823,0.86019,0.71857,0.79142,0.40905,1.53915,0.97258,1.84287,0.00453258,0.00453258,0.00453258
98,5018.48,1.61918,1.44254,1.6942,0.79413,0.71778,0.77831,0.38464,1.62867,0.97283,1.9499,0.00444675,0.00444675,0.00444675
99,5060.42,1.64019,1.46593,1.71144,0.78431,0.70084,0.7824,0.39522,1.61743,1.04169,1.91875,0.00436109,0.00436109,0.00436109
100,5101.9,1.61997,1.42753,1.67065,0.6493,0.6571,0.70119,0.33345,1.59871,1.05614,1.89553,0.00427565,0.00427565,0.00427565
101,5154.57,1.63568,1.46927,1.67231,0.82161,0.6585,0.74175,0.37085,1.58075,0.96641,1.88613,0.00419044,0.00419044,0.00419044
102,5204.05,1.55611,1.42905,1.68201,0.81144,0.63184,0.75098,0.39069,1.61359,0.96659,1.93328,0.0041055,0.0041055,0.0041055
103,5250.14,1.60013,1.42928,1.67061,0.85274,0.67438,0.8084,0.41641,1.5264,0.90245,1.82903,0.00402084,0.00402084,0.00402084
104,5294.15,1.59476,1.42948,1.68098,0.83947,0.67943,0.80357,0.39794,1.51449,0.92281,1.83983,0.00393649,0.00393649,0.00393649
105,5336.47,1.61306,1.43049,1.68566,0.75291,0.79266,0.8095,0.39303,1.54885,0.90561,1.87033,0.00385249,0.00385249,0.00385249
106,5380.08,1.59909,1.40524,1.66114,0.71044,0.72446,0.77102,0.37892,1.57603,0.97876,1.87957,0.00376885,0.00376885,0.00376885
107,5423.2,1.63683,1.43108,1.65291,0.72487,0.70624,0.74851,0.39174,1.57516,0.98455,1.88171,0.0036856,0.0036856,0.0036856
108,5466.29,1.63171,1.38979,1.64214,0.78271,0.69875,0.77781,0.37742,1.54435,0.91004,1.87348,0.00360276,0.00360276,0.00360276
109,5511.67,1.58276,1.43898,1.6675,0.80301,0.6369,0.75838,0.37073,1.57052,0.95648,1.91495,0.00352037,0.00352037,0.00352037
110,5553.68,1.56922,1.39122,1.63129,0.8956,0.60405,0.76165,0.3718,1.57226,1.0117,1.90519,0.00343844,0.00343844,0.00343844
111,5598.45,1.54963,1.37685,1.64868,0.81074,0.66321,0.76644,0.38687,1.5086,0.98251,1.86189,0.003357,0.003357,0.003357
112,5641.56,1.60058,1.38711,1.65643,0.78148,0.70011,0.76918,0.40907,1.53079,0.94658,1.87325,0.00327608,0.00327608,0.00327608
113,5684.72,1.57234,1.37151,1.65126,0.81982,0.69963,0.79633,0.37487,1.62473,0.90666,1.94941,0.0031957,0.0031957,0.0031957
114,5728.65,1.56855,1.40062,1.63878,0.81907,0.69963,0.78262,0.3776,1.53287,0.89988,1.86984,0.00311588,0.00311588,0.00311588
115,5772.85,1.59225,1.37298,1.67506,0.87994,0.65683,0.80942,0.38849,1.52939,0.86754,1.84267,0.00303665,0.00303665,0.00303665
