epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,394.562,0.83742,0.62757,1.35457,0.93388,0.84211,0.85372,0.43057,1.73399,0.99118,2.75091,0.00137143,0.00137143,0.00137143
117,397.334,0.85583,0.6215,1.3375,0.92068,0.84211,0.8554,0.42974,1.72746,1.00744,2.70125,0.00130287,0.00130287,0.00130287
118,400.125,0.87599,0.64457,1.37069,0.88223,0.84211,0.84801,0.41986,1.71374,0.98695,2.6573,0.00123596,0.00123596,0.00123596
119,403.274,0.77557,0.61744,1.31121,0.84815,0.88243,0.85829,0.42257,1.72047,1.01166,2.64242,0.00117072,0.00117072,0.00117072
120,407.221,0.89096,0.63054,1.34657,0.88544,0.84211,0.8304,0.41418,1.70244,0.99324,2.6062,0.00110718,0.00110718,0.00110718
121,410.165,0.80813,0.62354,1.31068,0.87737,0.78947,0.78821,0.41208,1.70075,1.0451,2.57311,0.00104537,0.00104537,0.00104537
122,412.954,0.84947,0.62465,1.32137,0.88202,0.7871,0.84006,0.40465,1.70198,1.04735,2.59449,0.000985311,0.000985311,0.000985311
123,415.71,0.78572,0.58625,1.29021,0.8812,0.78121,0.79069,0.40805,1.62011,0.92596,2.52948,0.00092704,0.00092704,0.00092704
124,419.062,0.8123,0.61768,1.31002,0.93664,0.84211,0.84743,0.41989,1.64316,0.9681,2.53464,0.000870577,0.000870577,0.000870577
125,422.809,0.83463,0.61306,1.32305,0.93613,0.84211,0.84889,0.41319,1.65116,0.93795,2.55814,0.000815947,0.000815947,0.000815947
126,425.784,0.81913,0.61096,1.32413,0.93614,0.84211,0.84465,0.39842,1.70192,0.9459,2.64131,0.000763174,0.000763174,0.000763174
127,428.821,0.87116,0.64308,1.32524,0.93714,0.84211,0.84691,0.40462,1.75094,0.97577,2.70105,0.000712282,0.000712282,0.000712282
